# Thu, 24 Oct 2019 03:35:06 PM +0000
#  Spec File Name :YbAl3_1.spec_supplementary.dat
#  Scan numbers :[129, 132, 134]
#  Energy Shift of Elastic Peak (meV) :[0.23516477279430179, -1.0949889876455359, -0.6295924678368008]
#  Q_5 [2.133, 2.131, 0.100] 
#   T_sample =9.7551 K
1.866927856089600724e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.916801189422934826e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.965674522756267706e+01 2.003898124470856690e+00 1.415591086603351201e+00
2.016544522756267810e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.066414522756268113e+01 1.998409938404074548e+00 1.413651278924217047e+00
2.116284522756267705e+01 1.000884083965517091e+00 1.000441944325365151e+00
2.166157856089600742e+01 3.009054001551125346e+00 1.734662503644765374e+00
2.217027856089601201e+01 3.009215043850590909e+00 1.734708921937796244e+00
2.266901189422934593e+01 9.992889273697012076e-01 9.996444004593338928e-01
2.315774522756267473e+01 9.037761253479281720e+00 3.006286954613494711e+00
2.366637856089601044e+01 7.035528599328436883e+00 2.652457087179439732e+00
2.416511189422934081e+01 5.024438178649557329e+00 2.241525859464832848e+00
2.466384522756267828e+01 1.002146090466325523e+00 1.001072470137065240e+00
2.516257856089601219e+01 6.029887528883231873e+00 2.455582930565211264e+00
2.566127856089601167e+01 8.083785681991177086e+00 2.843199901869577939e+00
2.616001189422934203e+01 1.314076747242265597e+01 3.625019651315376734e+00
2.665867856089601062e+01 4.015843517961763531e+00 2.003956965097245746e+00
2.716737856089601166e+01 2.004128079576828370e+00 1.415672306565622041e+00
2.766611189422934558e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.815487856089601237e+01 2.008194150587747195e+00 1.417107670781492690e+00
2.866354522756267897e+01 6.127594880414722667e+00 2.475397923650806131e+00
2.916227856089600934e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.966097856089601237e+01 5.050818082679452203e+00 2.247402519060493375e+00
